a|一个；一（个）
cold|冷的；感冒
color|颜色
colour|颜色
come|来
complete|完整的；完成
computer|电脑
cone|圆锥；蛋筒
cook|厨师；烹饪
cookbook|食谱书
cooked|烹饪了；熟的
cookie|饼干
cooking|烹饪
cool|凉爽的；酷的
cool box|保温箱
core|核心；果核
corn|玉米
corner|角落
cot|小床
could|能够；可以
count|数数；计算
countable|可数的
countries|国家
cow|奶牛
cowboy|牛仔
cowboy hat|牛仔帽
crab|螃蟹
crash|碰撞
crayon|蜡笔
cream|奶油
cries|哭；叫喊
crop|庄稼；裁剪
cross|穿过；十字形的
crow|乌鸦
crown|王冠
crush|压碎
cry|哭
crying|哭泣
cub|幼兽
cube|立方体
cuff|袖口
cup|杯子
cups|杯子
curl|卷曲
curtain|窗帘
cut|切
cute|可爱的
cutting|切；剪
dad|爸爸
dam|水坝
danced|跳了舞
dancer|舞者
dare|敢于
dark|黑暗的
dash|猛冲；破折号
date|日期；约会
day|一天；白天
daytime|白天
dear|亲爱的
deck|甲板
den|兽穴
desk|书桌
did|做了
die|死亡
different|不同的
dig|挖
dinner|晚餐
dinosaur|恐龙
dish|盘子；菜肴
dishes|盘子；菜肴
display|展示
do|做
doctor|医生
does|做
dog|狗
dogs|狗
doll|玩偶
dolls|玩偶
dolphin|海豚
done|完成的
door|门
dot|点
down|向下
downtown|市中心
dragon|龙
dragonfly|蜻蜓
draw|画；拉
drawing|图画；绘画
drawing book|图画本
dream|梦
dress|连衣裙；穿衣
dresses|连衣裙
drew|画了
drink|喝；饮料
drinking|喝
drip|滴下
drive|驾驶
driver|司机
drop|掉落
dropped|掉落了
drum|鼓
dry|干的
drying|变干；晾干
duck|鸭子
due|到期的；应有的
dug|挖了
dune|沙丘
dust|灰尘
each|每个
ear|耳朵
earring|耳环
ears|耳朵
earth|地球；土地
easy|容易的
eat|吃
eating|吃
egg|鸡蛋
eight|八
either|两者中的任一个
elbow|肘部
elephant|大象
eleven|十一
end|结尾；结束
ended|结束了
ending|结尾
english|英语；英国的
enjoy|喜欢；享受
equal|相等的
evening|晚上
every|每一个
everyone|每个人
everything|每件事
everywhere|到处
excuse|借口；原谅
eye|眼睛
eyes|眼睛
eyesight|视力
face|脸；面对
fair|公平的；集市
families|家庭
family|家庭
fan|风扇；粉丝
far|远的
farm|农场
farmer|农民
fast|快的
fat|胖的；脂肪
father|父亲
favorite|最喜欢的
favourite|最喜欢的
feather|羽毛
fed|喂了
feel|感觉
feet|脚
fell|掉下了
few|少数的
fifth|第五
fig|无花果
fight|打架；战斗
fin|鱼鳍
find|找到
fine|好的；晴朗的
finger|手指
finish|完成
finished|完成了
firefly|萤火虫
first|第一
fish|鱼
fit|合适的；健康的
five|五
fix|修理
fizz|嘶嘶声；起泡
flag|旗帜
flame|火焰
flash|闪光
flashlight|手电筒
flat|平的；公寓
flies|苍蝇；飞
flight|飞行；航班
flip|翻转
float|漂浮
floor|地板
flower|花
flute|长笛
fly|飞；苍蝇
flying|飞行
foam|泡沫
fog|雾
follow|跟随
followme|跟我来
food|食物
foot|脚
football|足球
footpath|人行小路
footstep|脚步
for|为了；给
forehead|前额
fork|叉子
found|找到了
four|四
fourth|第四
fox|狐狸
foxes|狐狸
fresh|新鲜的
friday|星期五
friend|朋友
friendly|友好的
friends|朋友
friendship|友谊
frog|青蛙
from|从
fruit|水果
fruit juice|果汁
fruitcake|水果蛋糕
fun|乐趣；有趣的
funny|好笑的
fur|毛皮
fuse|保险丝；熔合
game|游戏
games|游戏
gap|缺口；间隙
garden|花园
gas|气体；汽油
gate|大门
gave|给了
get|得到；变得
gift|礼物
girl|女孩
glad|高兴的
glass|玻璃；杯子
glasses|眼镜；玻璃杯
glitter|闪光
globe|地球仪
glove|手套
glow|发光
glue|胶水；粘贴
glue book|粘贴本
goat|山羊
goat coat|山羊外套
goldfish|金鱼
good|好的
good luck|好运
goodbye|再见
goodnight|晚安
got|得到了
grade|年级；成绩
grape|葡萄
grapes|葡萄
graph|图表
grass|草
gray|灰色的
great|很棒的；伟大的
green|绿色的
green bean|青豆
grew|长大了；生长了
grey|灰色的
grin|咧嘴笑
ground|地面
grow|生长
gum|口香糖；树胶
gun|枪
had|有；吃过
hair|头发
hair band|发带
hair brush|梳子
hair clip|发夹
hallway|走廊
ham|火腿
hand|手
handlebar|车把
hands|手
happy|开心的
hard|困难的；硬的
has|有
hat|帽子
hats|帽子
have|有
hay|干草
he|他
head|头
hear|听见
hearing|听觉；听见
heart|心；心脏
heel|脚后跟
help|帮助
helped|帮助了
helping|帮助
hen|母鸡
her|她；她的
here|这里
hers|她的
herself|她自己
hid|藏了
hide|躲藏
high|高的
high chair|儿童高脚椅
highway|公路
him|他
himself|他自己
his|他的
hit|击打
hog|猪
hole|洞
holiday|假期
home|家
homework|家庭作业
honey|蜂蜜
hook|钩子
hop|跳
hope|希望
horse|马
hose|软管
hot|热的
hour|小时
house|房子
how|怎样
hug|拥抱
huge|巨大的
hungry|饥饿的
hurry|赶快
hurt|受伤；疼痛
hush|安静
hut|小屋
i|我
ice|冰
if|如果
in|在……里面
is|是
it|它
its|它的
jacket|夹克
jam|果酱；堵塞
jar|罐子
jaw|下巴
jawbone|下颌骨
jazz|爵士乐
jeans|牛仔裤
jeep|吉普车
job|工作
jog|慢跑
join|加入；连接
joining|加入；连接
joke|笑话
joy|快乐
joyful|快乐的
jug|壶
juice|果汁
jump|跳
jumped|跳了
jumping|跳跃
june|六月
just|只是；正好
kick|踢
kid|孩子
kind|友善的；种类
king|国王
kingfish|王鱼
kiss|亲吻
kisses|亲吻
kit|工具包；幼兽
kitchen|厨房
kite|风筝
kites|风筝
know|知道
ladies|女士们
lady|女士
lake|湖
lamp|灯
land|陆地；着陆
last|最后的；持续
late|迟的
law|法律
lawn|草坪
lawnmower|割草机
lawsuit|诉讼
lay|放置；下蛋
leaf|叶子
learner|学习者
led|带领了
left|左边；离开了
legs|腿
let|让
lid|盖子
lie|躺；说谎
lift|举起；电梯
light|光；轻的
lightbulb|灯泡
like|喜欢；像
liked|喜欢过
line|线；排
link|连接；链接
lip|嘴唇
liquid|液体
lit|点亮了
little|小的；一点
loaf|一条面包
loan|贷款；借出
lock|锁
log|原木；记录
long|长的
longer|更长的
longest|最长的
look|看
lookbook|图片册
looked|看了
looking|看
lost|丢失了
lot|许多
loud|大声的
loved|喜爱过
low|低的
luck|运气
lunch|午餐
lunchbox|午餐盒
lunches|午餐
mad|生气的；疯狂的
made|制作了
mail|邮件
mailman|邮递员
make|制作；使
making|制作
man|男人
many|许多
map|地图
march|三月；行进
market|市场
mash|捣碎
mask|面具
mat|垫子
match|比赛；火柴；匹配
math|数学
may|可以；五月
me|我
meal|一餐
meat|肉
meet|见面
melt|融化
men|男人们
mere|仅仅的
met|见过；遇见了
mice|老鼠
microphone|麦克风
middle|中间
midnight|午夜
might|可能
milk|牛奶
mind|头脑；介意
mine|我的；矿
mirror|镜子
miss|想念；错过
mix|混合
mole|鼹鼠；痣
mom|妈妈
monday|星期一
money|钱
monkey|猴子
month|月
moon|月亮
moonlight|月光
mop|拖把；拖地
more|更多
more store|更多商店
more story|更多故事
morning|早晨
mother|母亲
mountain|山
mouse|老鼠
mousehole|老鼠洞
mouth|嘴
much|许多
mud|泥
mule|骡子
mum|妈妈
muse|沉思；灵感
mushroom|蘑菇
must|必须
my|我的
myself|我自己
nail|钉子；指甲
name|名字
nap|小睡
near|附近的
neck|脖子
need|需要
needed|需要了
neither|两者都不
nest|鸟巢
net|网
new|新的
new book|新书
next|下一个
nice|好的；友善的
night|夜晚
night light|夜灯
nine|九
no|不；没有
nod|点头
noise|噪声
noisy|吵闹的
noodle|面条
north|北方
nose|鼻子
not|不
note|笔记；便条
notebook|笔记本
nothing|没有什么
now|现在
number|数字；号码
nurse|护士
nut|坚果
oak|橡树
oatmeal|燕麦粥
odd|奇怪的；奇数的
of|……的
off|离开；关掉
oil|油
old|老的；旧的
on|在……上面；打开
once|一次；曾经
one|一
only|只有；唯一的
opened|打开了
or|或者
orange|橙子；橙色的
other|其他的
our|我们的
ours|我们的
ourselves|我们自己
out|在外面；出去
outside|外面
ox|公牛
oyster|牡蛎
pack|打包；一包
pad|垫子；便笺本
paint|画；油漆
paint box|颜料盒
paintbrush|画笔
painted|画了
painter|画家
painting|绘画；画作
pair|一对
pal|朋友
pan|平底锅
parent|父亲或母亲
park|公园；停车
parking|停车
parties|聚会
party|聚会
pat|轻拍
patch|补丁；小块地
path|小路
pause|暂停
paw|爪子
pawpaw|木瓜；爷爷
pay|支付
peach|桃子
peaches|桃子
peanut|花生
pear|梨
peg|木钉；夹子
pen|钢笔
pens|钢笔
people|人们
pet|宠物
pharmacy|药店
phone|电话
phonics|自然拼读
photo|照片
photocopy|复印件；复印
photograph|照片
photographer|摄影师
phrase|短语
physics|物理
pick|挑选；采摘
picture|图片
pie|馅饼
pie crust|馅饼皮
pig|猪
pigs|猪
pillow|枕头
pillowcase|枕套
pin|别针
pink|粉色的
pinky|小拇指
place|地方；放置
plain|简单的；平原
plan|计划
plane|飞机；平面
plant|植物；种植
plate|盘子
plates|盘子
play|玩；表演
played|玩了
player|运动员；玩家
playful|爱玩的
playground|操场
playing|玩耍
playroom|游戏室
please|请；使高兴
plot|情节；小块地
plug|插头；塞住
plum|李子
pocket|口袋
pod|豆荚
point|点；指
pointing|指着
pole|杆；极
pond|池塘
pool|水池；游泳池
poor|贫穷的；可怜的
pop|爆开；流行的
popcorn|爆米花
pot|锅；花盆
pray|祈祷
present|礼物；现在的
press|按；压
price|价格
prince|王子
print|打印；印刷
proud|自豪的
prune|西梅；修剪
puff|一阵；喘气
pump|泵；打气
punch|拳打；打孔
pup|小狗
puppies|小狗
puppy|小狗
purple|紫色的
purple bird|紫色的鸟
purse|钱包
push|推
puzzle|拼图；谜题
quack|鸭叫声
quarter|四分之一；一刻钟
queen|女王
question|问题
questioning|提问；质疑
quick|快的
quickly|很快地
quiet|安静的
quilt|被子
quite|相当；十分
quiz|小测验
race|赛跑；比赛
rag|抹布
railway|铁路
rain|雨
rainbow|彩虹
rainy|下雨的
ram|公羊；猛撞
ran|跑了
ranch|牧场
rat|老鼠
raw|生的
reach|到达；伸手够到
read|阅读
reader|读者；读本
reading|阅读
red|红色的
relay|接力；传递
request|请求
rescue|营救
rest|休息
rib|肋骨
rice|米饭；大米
rich|富有的
ride|骑；乘坐
riding|骑行
right|右边的；正确的
ring|戒指；铃声
ringing|铃响
river|河
road|道路
roadside|路边
roadway|车行道
roast|烘烤
rob|抢劫
robe|长袍
rock|岩石；摇动
rocket|火箭
rod|杆
room|房间
rope|绳子
rose|玫瑰
round|圆的；围绕
rowboat|划艇
royal|皇家的
rub|摩擦
rubber|橡胶；橡皮
rude|粗鲁的
rug|小地毯
rule|规则
run|跑
runner|跑步者
running|跑步
rush|冲；匆忙
sad|伤心的
said|说了
sail|航行；帆
sailboat|帆船
sailor|水手
same|相同的
sand|沙子
sandwich|三明治
sat|坐了
saturday|星期六
sauce|酱汁
save|保存；救助
saw|看见了；锯子
say|说
says|说
scanner|扫描仪
scarecrow|稻草人
scared|害怕的
scarf|围巾
scary|吓人的
scene|场景
school|学校
schoolbag|书包
schoolhouse|校舍
schoolroom|教室
scooter|滑板车
score|分数；得分
scorecard|记分卡
scream|尖叫
screen|屏幕
sea|海
seafood|海鲜
seashell|贝壳
seashore|海岸
seashore line|海岸线
season|季节
seat|座位
second|第二；秒
see|看见
seed|种子
sell|卖
send|发送
set|放置；一套
seven|七
shadow|影子
shake|摇动
shall|将要
shampoo|洗发水
shape|形状
share|分享
sharing|分享
shark|鲨鱼
sharp|锋利的
she|她
shed|小棚；脱落
sheep|羊
sheet|床单；一张纸
shelf|架子
shell|贝壳
shellfish|贝类
shine|发光
shiny|闪亮的
ship|船
shirt|衬衫
shirts|衬衫
shoes|鞋
shop|商店；购物
shopping|购物
shore|岸边
short|短的；矮的
shorter|更短的
shorts|短裤
should|应该
shout|喊叫
shouted|喊叫了
shovel|铲子
show|展示；节目
shower|淋浴；阵雨
shut|关闭
shy|害羞的
sick|生病的
side|一边；侧面
sight|视力；景象
silk|丝绸
silly|傻的
simple|简单的
sing|唱歌
singer|歌手
singing|唱歌
sink|水槽；下沉
sister|姐妹
sit|坐
sitting|坐着
six|六
skate|滑冰；滑板
skies|天空
skin|皮肤
skip|跳过；跳跃
skirt|裙子
skunk|臭鼬
sky|天空
sky blue|天蓝色
skyway|空中通道
slap|拍打
sled|雪橇
sleep|睡觉
sleeping|睡觉
slice|薄片；切片
slide|滑动；滑梯
slim|苗条的
slipper|拖鞋
slow|慢的
slowcoach|慢性子
slug|蛞蝓
small|小的
smaller|更小的
smart|聪明的；整洁的
smell|气味；闻
smile|微笑
smiled|微笑了
smoke|烟；冒烟
smooth|光滑的
smoothie|果昔
snack|零食
snail|蜗牛
snake|蛇
sneeze|打喷嚏
snow|雪
snowball|雪球
snowflake|雪花
snowman|雪人
snowstorm|暴风雪
snowy|下雪的
so|所以；如此
soap|肥皂
soap boat|肥皂船
sob|抽泣
sock|袜子
socks|袜子
soft|柔软的
soil|土壤
some|一些
somebody|某人
something|某事；某物
song|歌曲
songbird|鸣禽
soon|很快
sound|声音
south|南方
space|空间；太空
spaceship|宇宙飞船
speak|说话
spell|拼写；咒语
sphere|球体
spider|蜘蛛
spiderweb|蜘蛛网
spine|脊柱
splash|飞溅
spoke|说了；轮辐
spoon|勺子
spoonful|一勺
sport|运动
sports|运动
spot|斑点；地点
spring|春天；弹簧
square|正方形；广场
squirrel|松鼠
stack|一叠；堆放
stair|楼梯台阶
staircase|楼梯
stamp|邮票；跺脚
stand|站立
star|星星
starfish|海星
started|开始了
state|状态；州
statue|雕像
stay|停留
step|一步；台阶
stick|棍子；粘贴
still|仍然；静止的
stone|石头
stop|停止；车站
stopped|停止了
stopping|停止
store|商店；储存
stories|故事
storm|暴风雨
story|故事
storybook|故事书
stove|炉子
straw|吸管；稻草
strawberry|草莓
street|街道
string|绳子
stripe|条纹
strong|强壮的
stronger|更强壮的
stuck|卡住了
stuff|东西
subway|地铁
such|这样的
suit|套装；适合
suitcase|手提箱
summer|夏天
sun|太阳
sunday|星期日
sunny|晴朗的
sunshine|阳光
sunup|日出
supper|晚餐
surf|冲浪
sweater|毛衣
sweet|甜的；糖果
swim|游泳
swimming|游泳
swing|秋千；摆动
table|桌子
tag|标签；追逐游戏
tail|尾巴
tailgate|尾门
take|拿；带走
talking|说话
tan|棕褐色；晒黑
tank|坦克；水箱
tap|轻拍；水龙头
task|任务
tea|茶
teach|教
teacher|老师
teacher-like|像老师一样的
teachers|老师
teacup|茶杯
team|队伍
teapot|茶壶
teeth|牙齿
telephone|电话
tell|告诉
ten|十
tent|帐篷
test|测试
text|文字；课文
than|比
thank|感谢
thanksgiving|感恩节
thankyou|谢谢
that|那个；那
the|这；那（定冠词）
their|他们的
theirs|他们的
them|他们
theme|主题
themselves|他们自己
then|然后；那时
there|那里
therefore|因此
these|这些
they|他们
thick|厚的
thin|薄的；瘦的
thing|东西；事情
think|想；认为
thinking|思考
third|第三
thirsty|口渴的
thirteen|十三
thirty|三十
this|这个
thorn|刺
those|那些
though|虽然
thought|想法；想过
three|三
throat|喉咙
throw|扔
thumb|拇指
thursday|星期四
ticket|票
tie|领带；系
tie pin|领带夹
time|时间
tin|锡；罐头
tiny|很小的
to|向；到
toad|蟾蜍
toast|烤面包；烘烤
toast bread|烤面包
today|今天
together|一起
tomorrow|明天
too|也；太
took|拿了
tooth|牙齿
toothbrush|牙刷
top|顶部
torch|手电筒；火炬
touch|触摸
tour|旅行；参观
town|城镇
toy|玩具
toy shop|玩具店
toys|玩具
trace|描摹；痕迹
track|轨道；追踪
trade|贸易；交换
train|火车；训练
trash|垃圾
tray|托盘
treasure|宝藏
tree|树
triangle|三角形
tries|尝试
trip|旅行；绊倒
trophy|奖杯
truck|卡车
true|真的；正确的
trust|信任
try|尝试
trying|尝试
tub|浴盆
tube|管子
tuesday|星期二
tune|曲调
turn|转弯；轮到
turtle|乌龟
twelve|十二
twice|两次
two|二
umbrella|雨伞
uncle|叔叔；舅舅
under|在下面
up|向上
us|我们
use|使用
used|使用过的；过去常常
value|价值
van|小货车
very|非常
vest|背心
visited|参观了
visitor|访客
voice|声音
vote|投票
wag|摇摆
wait|等待
waited|等待了
walked|走了
walking|走路
wanted|想要了
was|是
wash|洗
washed|洗了
washing|洗涤
watch|手表；观看
watched|观看了
watches|手表；观看
water|水
wave|波浪；挥手
way|道路；方法
we|我们
wear|穿；戴
weather|天气
wed|星期三（缩写）；结婚
week|星期；周
weekday|工作日
weekend|周末
well|好；井
were|是
west|西方
wet|湿的
whale|鲸鱼
what|什么
wheat|小麦
wheel|轮子
wheelchair|轮椅
when|什么时候
whenever|无论何时
where|哪里
wherever|无论哪里
which|哪一个
while|当……时；一会儿
whip|鞭子；抽打
whisper|耳语
whispering|低声说
whistle|口哨；吹口哨
white|白色的
who|谁
whole|整个的
whose|谁的
why|为什么
wide|宽的
wig|假发
wild|野生的
will|将要；意愿
win|赢
wind|风
window|窗户
window seat|靠窗座位
windowpane|窗玻璃
windy|有风的
wing|翅膀
wink|眨眼示意
winter|冬天
wish|希望；愿望
wishes|愿望；祝愿
witch|女巫
with|和……一起；带有
wood|木头
wooden|木制的
woodpecker|啄木鸟
woodwork|木工
wool|羊毛
worker|工人
would|将会；愿意
write|写
writer|作家
writing|写作
wrong|错误的
yam|山药
yard|院子；码
yawn|打哈欠
yawned|打了哈欠
year|年
yellow|黄色的
yellow coat|黄色外套
yellowish|略带黄色的
yes|是；好的
yesterday|昨天
yet|还；尚未
you|你；你们
young|年轻的
your|你的；你们的
yours|你的；你们的
yourself|你自己
zip|拉链；快速移动
zoo|动物园
